P_KEY,ST_CASE,MAKE,MODEL,MOD_YEAR,FATALS
0,10001,12,481,2003,1
1,10002,49,40,2006,1
2,10003,20,37,2008,1
3,10004,12,481,2005,1
4,10005,69,54,2006,1
5,10005,85,881,2015,1
6,10006,12,471,2006,1
7,10007,23,471,2002,1
8,10008,99,999,9999,1
9,10009,12,481,2000,1
10,10010,12,17,2004,1
11,10010,20,481,2003,1
12,10011,12,17,2005,1
13,10011,20,401,2002,1
14,10012,20,421,1997,1
15,10012,20,481,2003,1
16,10012,20,37,2010,1
17,10013,35,39,2007,1
18,10014,49,421,1999,1
19,10015,23,481,2004,1
20,10016,20,481,1999,1
21,10016,59,34,1998,1
22,10017,49,40,2008,1
23,10018,23,461,1992,1
24,10019,12,401,2002,1
25,10020,6,51,2006,1
26,10020,12,401,1993,1
27,10021,12,481,2014,1
28,10021,3,402,2007,1
29,10022,12,481,2002,1
30,10023,20,421,2003,1
31,10024,12,17,2003,1
32,10025,58,37,2007,2
33,10026,54,36,2002,1
34,10027,41,55,2014,1
35,10027,35,481,2012,1
36,10028,2,404,2001,1
37,10029,12,481,2005,1
38,10030,20,481,2014,5
39,10030,35,51,2014,5
40,10031,20,402,2003,1
41,10032,12,3,2006,1
42,10033,19,3,1998,2
43,10034,49,482,2007,1
44,10034,20,444,2008,1
45,10034,20,481,2003,1
46,10034,18,23,2007,1
47,10034,13,1,2009,1
48,10034,20,481,2008,1
49,10035,7,482,9999,1
50,10035,20,37,2008,1
51,10036,20,421,1992,2
52,10036,7,482,2012,2
53,10037,12,16,2007,1
54,10038,37,734,2012,1
55,10039,20,402,2003,1
56,10040,63,38,2013,1
57,10041,37,703,2001,1
58,10042,49,40,2006,1
59,10043,20,471,1994,1
60,10044,14,6,2006,1
61,10045,20,481,1999,1
62,10046,7,20,2000,1
63,10047,34,35,2003,1
64,10048,35,39,2013,2
65,10049,20,461,2003,1
66,10049,37,703,1986,1
67,10050,85,881,2009,1
68,10051,37,32,2002,1
69,10051,12,481,2006,1
70,10052,49,401,2011,1
71,10053,37,31,2010,1
72,10054,98,709,9999,1
73,10054,23,481,2002,1
74,10055,99,999,9999,1
75,10056,41,50,2015,1
76,10057,82,881,1995,1
77,10057,49,46,2012,1
78,10057,20,481,1996,1
79,10058,37,705,2009,1
80,10058,12,17,2008,1
81,10059,7,482,1998,1
82,10060,12,13,1994,1
83,10060,37,441,2004,1
84,10061,20,481,2006,1
85,10062,7,481,1983,1
86,10063,41,50,2004,1
87,10064,7,482,2008,1
88,10065,32,42,2003,1
89,10065,12,401,2000,1
90,10066,20,22,2007,1
91,10067,30,40,2006,1
92,10067,12,471,1998,1
93,10067,55,401,2013,1
94,10067,18,401,2002,1
95,10068,12,481,1997,1
96,10069,20,481,1998,1
97,10069,20,37,2008,1
98,10070,20,481,1990,1
99,10071,53,405,2005,1
100,10071,35,401,2005,1
101,10072,20,37,2009,1
102,10073,7,25,2009,1
103,10074,35,401,1995,1
104,10074,7,26,2012,1
105,10074,98,898,2012,1
106,10074,12,17,2005,1
107,10075,18,2,2000,1
108,10075,37,32,2008,1
