STATE,ST_CASE,PVH_INVL,PERNOTMVIT,PERMVIT,PERSONS,RD_OWNER,MAN_COLL,SCH_BUS,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,0,0,1,1,1,0,0,0,0,0,1,1
1,10002,0,0,1,1,1,0,0,0,0,0,1,0
1,10003,0,0,2,2,1,0,0,0,0,0,1,1
1,10004,0,0,1,1,1,0,0,0,0,0,1,1
1,10005,0,0,2,2,1,6,0,0,0,0,1,0
1,10006,0,0,2,2,2,0,0,0,0,0,1,0
1,10007,0,0,2,2,1,0,0,0,0,0,1,0
1,10008,0,1,1,1,4,0,0,0,0,0,1,0
1,10009,0,0,1,1,1,0,0,0,0,0,1,0
1,10010,0,0,2,2,1,2,0,0,0,0,1,0
1,10011,0,0,2,2,1,7,0,0,0,0,1,0
1,10012,0,0,6,6,1,6,0,0,0,0,1,0
1,10013,0,0,1,1,2,0,0,0,0,0,1,1
1,10014,0,0,1,1,1,0,0,0,0,0,1,1
1,10015,0,0,1,1,2,0,0,0,0,0,1,0
1,10016,0,0,2,2,1,6,0,0,0,0,1,0
1,10017,0,0,1,1,2,0,0,0,0,0,1,0
1,10018,0,0,2,2,2,0,0,0,0,0,1,1
1,10019,0,0,1,1,2,0,0,0,0,0,1,0
1,10020,0,0,3,3,4,6,0,0,0,0,1,0
1,10021,0,0,4,4,1,1,0,27,0,0,1,0
1,10022,0,0,2,2,1,0,0,0,0,0,1,0
1,10023,0,0,1,1,1,0,0,0,0,0,1,1
1,10024,0,0,1,1,2,0,0,0,0,0,1,0
1,10025,0,0,2,2,2,0,0,0,0,0,2,1
1,10026,0,0,1,1,4,0,0,0,0,0,1,0
1,10027,0,0,3,3,2,6,0,0,0,0,1,0
1,10028,0,0,1,1,4,0,0,0,0,0,1,1
1,10029,0,0,1,1,1,0,0,0,0,0,1,0
1,10030,0,0,5,5,1,2,0,0,0,0,5,0
1,10031,0,1,1,1,2,0,0,0,0,0,1,0
1,10032,0,0,1,1,2,0,0,0,0,0,1,1
1,10033,0,0,2,2,4,0,0,0,0,0,2,1
1,10034,0,0,10,10,1,1,0,0,0,0,1,1
1,10035,0,0,2,2,1,6,0,0,0,0,1,0
1,10036,0,0,5,5,1,6,0,0,0,0,2,0
1,10037,0,0,1,1,2,0,0,0,0,0,1,0
1,10038,0,0,1,1,4,0,0,0,0,0,1,0
1,10039,0,0,1,1,1,0,0,0,0,0,1,1
1,10040,0,1,1,1,4,0,0,0,0,0,1,0
1,10041,0,0,1,1,2,0,0,0,0,0,1,1
1,10042,0,1,2,2,1,0,0,0,0,0,1,0
1,10043,0,0,1,1,2,0,0,0,0,0,1,0
1,10044,0,0,2,2,1,0,0,0,0,0,1,0
1,10045,0,0,1,1,1,0,0,0,0,0,1,0
1,10046,0,0,1,1,1,0,0,0,0,0,1,0
1,10047,0,0,2,2,4,0,0,0,0,0,1,1
1,10048,0,0,4,4,1,0,0,0,0,0,2,0
1,10049,0,0,2,2,4,6,0,0,0,0,1,0
1,10050,0,1,1,1,1,0,0,0,0,0,1,0
1,10051,0,0,5,5,1,6,0,0,0,0,1,0
1,10052,0,0,1,1,4,0,0,0,0,0,1,0
1,10053,0,0,3,3,1,0,0,0,0,0,1,0
1,10054,0,0,2,2,1,1,0,0,0,0,1,0
1,10055,0,1,1,1,1,0,0,0,0,0,1,0
1,10056,0,0,1,1,1,0,0,0,0,0,1,1
1,10057,0,0,3,3,1,1,0,0,0,0,1,0
1,10058,0,0,3,3,1,0,0,0,0,0,1,0
1,10059,0,1,1,1,1,0,0,0,0,0,1,0
1,10060,0,0,7,7,4,6,0,0,0,0,1,0
1,10061,0,0,3,3,1,0,0,0,0,0,1,1
1,10062,0,0,1,1,1,0,0,0,0,0,1,0
1,10063,0,0,3,3,1,0,0,0,0,0,1,1
1,10064,0,1,1,1,1,0,0,0,0,0,1,0
1,10065,0,0,2,2,2,1,0,0,0,0,1,0
1,10066,0,0,2,2,4,0,0,0,0,0,1,1
1,10067,0,0,8,8,1,2,0,0,0,0,1,0
1,10068,0,0,1,1,2,0,0,0,0,0,1,0
1,10069,0,1,2,2,1,0,0,0,0,0,1,1
1,10070,0,0,1,1,2,0,0,0,0,0,1,1
1,10071,0,0,4,4,1,2,0,0,0,0,1,0
1,10072,0,1,1,1,4,0,0,0,0,0,1,0
1,10073,0,1,1,1,4,0,0,0,0,0,1,0
1,10074,0,0,4,4,1,0,0,0,0,0,1,0
1,10075,0,0,4,4,1,8,0,0,0,0,1,1
1,10076,1,1,1,1,1,0,0,15,14,0,1,0
1,10077,0,1,1,1,1,0,0,0,0,0,1,0
1,10078,0,0,1,1,1,0,0,0,0,0,1,0
1,10079,0,0,2,2,1,0,0,0,0,0,1,1
1,10080,0,0,1,1,2,0,0,0,0,0,1,1
1,10081,0,0,4,4,1,1,0,20,0,0,1,1
1,10082,0,0,1,1,4,0,0,0,0,0,1,0
1,10083,0,0,4,4,1,6,0,20,0,0,4,2
1,10084,0,0,3,3,1,1,0,0,0,0,1,1
1,10085,0,0,1,1,1,0,0,0,0,0,1,1
1,10086,0,0,4,4,4,6,0,0,0,0,1,1
1,10087,0,0,2,2,1,0,0,0,0,0,2,0
1,10088,0,1,1,1,1,0,0,0,0,0,1,0
1,10089,0,0,1,1,2,0,0,0,0,0,1,1
